Airport Name,Aircraft Make Model,Effect Amount of damage,Flight Date,Aircraft Airline Operator,Origin State,Phase of flight,Wildlife Size,Wildlife Species,Time of day,Cost Other,Cost Repair,Cost Total $,Speed IAS in knots
LOS ANGELES INTL,B-737-300,,1997-09-28,SOUTHWEST AIRLINES,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,200.0
LAGUARDIA NY,A-320,Minor,1999-10-19,NORTHWEST AIRLINES,New York,Landing Roll,Large,Canada goose,Night,0,0,0,
AUSTIN-BERGSTROM INTL,MD-80,,1999-06-08,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,180.0
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,SAAB-340,,1996-10-05,COMAIR AIRLINES,Kentucky,Climb,Medium,Unknown bird - medium,Night,0,0,0,235.0
SALT LAKE CITY INTL,L-1011,,1994-09-13,DELTA AIR LINES,Utah,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
EPPLEY AIRFIELD,B-737-700,,2000-07-14,SOUTHWEST AIRLINES,Nebraska,Approach,Medium,Unknown bird - medium,Night,0,0,0,140.0
ATLANTA INTL,B-757-200,,1994-04-03,DELTA AIR LINES,Georgia,Landing Roll,Small,Unknown bird - small,Day,0,0,0,120.0
METRO OAKLAND INTL,B-737-400,,2001-05-11,SOUTHWEST AIRLINES,California,Take-off run,Medium,Mallard,Day,0,0,0,
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,CL-RJ100/200,,2000-07-23,COMAIR AIRLINES,Kentucky,Take-off run,Small,Eastern meadowlark,Day,0,0,0,150.0
EPPLEY AIRFIELD,C-208,Medium,2000-03-12,BUSINESS,Nebraska,Approach,Large,Canada goose,Night,0,93546,93546,
DALLAS/FORT WORTH INTL ARPT,MD-80,,2000-07-10,AMERICAN AIRLINES,Texas,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
SACRAMENTO INTL,B-737-300,Substantial,2000-03-20,DELTA AIR LINES,California,Climb,Medium,Unknown bird - medium,Day,0,0,0,
HONOLULU INTL ARPT,PA-28,,2001-12-06,BUSINESS,Hawaii,Taxi,Small,Unknown bird - small,Day,0,0,0,
NEW ORLEANS INTL,B-727-200,,1995-12-19,DELTA AIR LINES,Louisiana,Landing Roll,Small,Unknown bird - small,Night,0,0,0,
PHOENIX SKY HARBOR,B-737,,2001-01-10,ALASKA AIRLINES,Arizona,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
NEWARK LIBERTY INTL ARPT,B-727,,1996-09-01,DELTA AIR LINES,New Jersey,Approach,Small,Unknown bird - small,Night,0,0,0,160.0
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,B-727,Minor,1994-01-25,DELTA AIR LINES,Kentucky,Take-off run,Large,Unknown bird - large,Night,0,20350,20350,
DALLAS/FORT WORTH INTL ARPT,MD-82,,1991-10-29,AMERICAN AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Night,0,0,0,180.0
DALLAS/FORT WORTH INTL ARPT,B-737-300,,2000-11-05,US AIRWAYS*,Texas,Descent,Medium,Unknown bird - medium,Day,0,0,0,150.0
DENVER INTL AIRPORT,B-737,,1996-07-30,UNITED AIRLINES,Colorado,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
PORTLAND INTL (OR),DHC8 DASH 8,,2002-01-18,HORIZON AIR,Oregon,Landing Roll,Small,Barn owl,Dawn,0,0,0,
CHICAGO O'HARE INTL ARPT,B-737-300,,1998-11-10,US AIRWAYS*,Illinois,Approach,Medium,Unknown bird - medium,Day,0,0,0,
MINNEAPOLIS-ST PAUL INTL,MD-82,,1992-10-09,AMERICAN AIRLINES,Minnesota,Approach,Small,Unknown bird - small,Night,0,0,0,140.0
ORLANDO INTL,B-737-300,,2000-02-05,SOUTHWEST AIRLINES,Florida,Climb,Medium,Unknown bird - medium,Day,0,0,0,250.0
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,MD-80,,2001-08-13,DELTA AIR LINES,Kentucky,Take-off run,Small,Eastern meadowlark,Day,0,0,0,
LAMBERT-ST LOUIS INTL,B-737-300,,1996-11-01,SOUTHWEST AIRLINES,Missouri,Approach,Medium,Unknown bird - medium,Night,0,0,0,200.0
SACRAMENTO INTL,B-737-300,,1996-06-24,DELTA AIR LINES,California,Approach,Small,Unknown bird - small,Day,0,0,0,135.0
LIHUE ARPT,BELL-206,Substantial,1996-01-02,BUSINESS,Hawaii,Climb,Medium,Unknown bird - medium,Day,1856,2970,4826,80.0
HOUSTON-HOBBY,B-737-300,Minor,2002-04-16,SOUTHWEST AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,240.0
NEWARK LIBERTY INTL ARPT,A-300,Substantial,1991-03-06,AMERICAN AIRLINES,New Jersey,Climb,Medium,Herring gull,Day,0,0,0,150.0
LAGUARDIA NY,B-767,,1993-05-05,AMERICAN AIRLINES,New York,Approach,Small,Unknown bird - small,Night,0,0,0,135.0
DALLAS/FORT WORTH INTL ARPT,B-727-200,,2001-05-28,AMERICAN AIRLINES,Texas,Landing Roll,Small,Rock pigeon,Day,0,0,0,110.0
EPPLEY AIRFIELD,B-737-300,,1995-10-27,BUSINESS,Nebraska,Approach,Medium,Unknown bird - medium,Night,0,0,0,210.0
CHICAGO O'HARE INTL ARPT,BE-1900,,1998-09-03,GREAT LAKES AIRLINES,Illinois,Approach,Small,Unknown bird - small,Dawn,0,0,0,180.0
INDIANAPOLIS INTL,MD-82,,1997-10-20,AMERICAN AIRLINES,Indiana,Take-off run,Small,Unknown bird - small,Dawn,0,0,0,150.0
METRO OAKLAND INTL,MD-82,,2001-09-29,AMERICAN AIRLINES,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,180.0
SAN FRANCISCO INTL ARPT,B-777-200,,2001-09-03,UNITED AIRLINES,California,Climb,Large,Unknown bird - large,Day,0,0,0,
GREATER PITTSBURGH,B-737-400,,1996-10-28,US AIRWAYS*,Pennsylvania,Climb,Medium,Unknown bird - medium,Night,0,0,0,
SAN ANTONIO INTL,B-737-200,,1990-05-03,SOUTHWEST AIRLINES,Texas,Descent,Small,Unknown bird - small,Night,0,0,0,320.0
MINNEAPOLIS-ST PAUL INTL,DC-10,,2000-10-14,NORTHWEST AIRLINES,Minnesota,Landing Roll,Large,Unknown bird - large,Day,0,0,0,160.0
DENVER INTL AIRPORT,B-737-300,Minor,2002-02-05,UNITED AIRLINES,Colorado,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
NEW ORLEANS INTL,MD-82,,1990-11-09,AMERICAN AIRLINES,Louisiana,Approach,Medium,Unknown bird - medium,Day,0,0,0,140.0
NASHVILLE INTL,B-737-400,,2000-01-03,US AIRWAYS*,Tennessee,Climb,Small,Unknown bird - small,Dawn,0,0,0,190.0
CHICAGO O'HARE INTL ARPT,MD-80,,1993-06-19,AMERICAN AIRLINES,Illinois,Approach,Medium,Unknown bird - medium,Dusk,0,0,0,170.0
LOUISVILLE INTL ARPT,B-757-200,,1997-10-01,UPS AIRLINES,Kentucky,Approach,Medium,Unknown bird - medium,Night,0,0,0,
LAGUARDIA NY,B-737-400,,1995-09-28,US AIRWAYS*,New York,Approach,Small,Unknown bird - small,Night,0,0,0,220.0
BALTIMORE WASH INTL,FOKKER F28 MK 1000,,1992-11-03,US AIRWAYS*,Maryland,Approach,Medium,Unknown bird - medium,Night,0,0,0,250.0
LIHUE ARPT,DC-9-50,,2001-05-22,HAWAIIAN AIR,Hawaii,Landing Roll,Small,Zebra dove,Day,0,0,0,150.0
CHARLOTTE/DOUGLAS INTL ARPT,FOKKER F100,,1991-08-03,US AIRWAYS*,North Carolina,Descent,Small,Unknown bird - small,Day,0,0,0,250.0
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,MD-88,,1995-07-11,DELTA AIR LINES,Kentucky,Landing Roll,Small,Unknown bird - small,Day,0,0,0,
SAN FRANCISCO INTL ARPT,A-319,,2001-09-09,US AIRWAYS*,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,140.0
WASHINGTON DULLES INTL ARPT,BA-31 JETSTR,,1996-04-16,ATLANTIC COAST AIRLINES,DC,Climb,Small,Unknown bird - small,Day,0,0,0,160.0
SALT LAKE CITY INTL,MD-80,,1993-07-17,AMERICAN AIRLINES,Utah,Climb,Medium,Unknown bird - medium,Day,0,0,0,160.0
NEW ORLEANS INTL,B-737-200,,1993-07-21,UNITED AIRLINES,Louisiana,Approach,Medium,Unknown bird - medium,Day,0,0,0,
GREATER PITTSBURGH,B-737-400,,2002-07-15,US AIRWAYS*,Pennsylvania,Descent,Medium,Unknown bird - medium,Day,0,0,0,310.0
HOUSTON-HOBBY,B-737-200,,1996-05-03,SOUTHWEST AIRLINES,Texas,Take-off run,Small,Unknown bird - small,Day,0,0,0,120.0
SACRAMENTO INTL,MD-82,Minor,1992-03-11,AMERICAN AIRLINES,California,Climb,Medium,Unknown bird - medium,Night,0,0,0,160.0
ATLANTA INTL,DC-9-30,,2002-07-06,AIRTRAN AIRWAYS,Georgia,Approach,Medium,Unknown bird - medium,Day,0,0,0,140.0
SEATTLE-TACOMA INTL,B-757-200,,1996-07-02,UNITED AIRLINES,Washington,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
BARKSDALE AIR FORCE BASE ARPT,KC-135,,1991-09-26,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,150.0
ATLANTA INTL,B-767,,1996-04-23,BUSINESS,Georgia,Approach,Medium,Unknown bird - medium,Night,0,0,0,136.0
CHICAGO O'HARE INTL ARPT,DC-8-61,,1998-09-17,ABX AIR,Illinois,Climb,Medium,Unknown bird - medium,Night,0,0,0,
SACRAMENTO INTL,KC-135E,,1999-12-14,MILITARY,California,Climb,Medium,Unknown bird - medium,Night,0,0,0,150.0
BALTIMORE WASH INTL,FOKKER F28 MK 4000,,1993-05-21,US AIRWAYS*,Maryland,Take-off run,Small,Unknown bird - small,Day,0,0,0,130.0
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,MD-88,,1997-09-17,DELTA AIR LINES,Kentucky,Climb,Medium,Unknown bird - medium,Day,0,0,0,
SACRAMENTO INTL,B-737-700,,2001-11-17,SOUTHWEST AIRLINES,California,Descent,Medium,Unknown bird - medium,Night,0,0,0,210.0
DENVER INTL AIRPORT,B-727,,1997-10-27,UNITED AIRLINES,Colorado,Take-off run,Small,Unknown bird - small,Day,0,0,0,
TETERBORO AIRPORT,CL-601/604,Medium,2000-04-09,BUSINESS,New Jersey,Take-off run,Medium,Mallard,Day,0,0,0,
NASHVILLE INTL,B-757-200,,2000-10-12,DELTA AIR LINES,Tennessee,Take-off run,Small,Unknown bird - small,Dawn,0,0,0,140.0
LOS ANGELES INTL,B-737-300,Minor,1997-08-09,US AIRWAYS*,California,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
LAMBERT-ST LOUIS INTL,B-737-200,,2000-11-03,SOUTHWEST AIRLINES,Missouri,Approach,Small,Unknown bird - small,Dusk,0,0,0,220.0
SALT LAKE CITY INTL,CL-RJ100/200,,2001-01-29,SKYWEST AIRLINES,Utah,Landing Roll,Small,Horned lark,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,ATR-72,Medium,2001-09-27,AMERICAN EAGLE AIRLINES,Texas,Landing Roll,Small,Rock pigeon,Day,0,0,0,
ATLANTA INTL,MD-80,,1993-08-18,AMERICAN AIRLINES,Georgia,Approach,Small,Unknown bird - small,Day,0,0,0,140.0
SAN FRANCISCO INTL ARPT,DC-10,,1993-03-25,AMERICAN AIRLINES,California,Take-off run,Medium,Unknown bird - medium,Night,0,0,0,150.0
PORTLAND INTL (OR),FOKKER F28 MK 1000,,1998-10-31,HORIZON AIR,Oregon,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
LOS ANGELES INTL,B-737-200,,2000-05-05,AMERICA WEST AIRLINES,California,Approach,Small,Unknown bird - small,Night,0,0,0,200.0
GREATER PITTSBURGH,DORNIER 328,,2001-09-29,PSA AIRLINES,Pennsylvania,Approach,Small,Unknown bird - small,Day,0,0,0,
SACRAMENTO INTL,BA-31 JETSTR,,1995-12-29,TRANS STATES AIRLINES,California,Approach,Medium,Unknown bird - medium,Day,0,0,0,
PHOENIX SKY HARBOR,B-737-300,,1997-08-04,SOUTHWEST AIRLINES,Arizona,Landing Roll,Small,Unknown bird - small,Day,0,0,0,130.0
PORTLAND INTL (OR),F-15A,,2002-04-30,MILITARY,Oregon,Approach,Medium,Unknown bird - medium,Day,0,0,0,150.0
HOUSTON-HOBBY,B-737-200,Medium,1999-06-08,SOUTHWEST AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,250.0
WASHINGTON DULLES INTL ARPT,B-757-200,,1999-03-14,UNITED AIRLINES,DC,Climb,Small,Mourning dove,Day,0,0,0,186.0
DETROIT METRO WAYNE COUNTY ARPT,DC-10,,1997-10-26,NORTHWEST AIRLINES,Michigan,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
CHARLOTTE/DOUGLAS INTL ARPT,DC-9-30,,1997-11-26,US AIRWAYS*,North Carolina,Take-off run,Small,Unknown bird - small,Day,0,0,0,80.0
SEATTLE-TACOMA INTL,B-737-300,,1997-01-11,UNITED AIRLINES,Washington,Approach,Medium,Unknown bird - medium,Night,0,0,0,
BARKSDALE AIR FORCE BASE ARPT,B-52H,,1996-07-28,MILITARY,Louisiana,Take-off run,Small,Mourning dove,Day,0,0,0,140.0
LAGUARDIA NY,B-737-200,,1992-05-11,US AIRWAYS*,New York,Climb,Small,Unknown bird - small,Night,0,0,0,160.0
SACRAMENTO INTL,EMB-120,Minor,1997-01-17,SKYWEST AIRLINES,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,170.0
PORTLAND INTL (OR),B-737-300,Substantial,1997-08-21,SOUTHWEST AIRLINES,Oregon,Climb,Medium,Mallard,Day,0,144634,144634,
HOUSTON-HOBBY,B-727-200,,1993-04-19,AMERICAN AIRLINES,Texas,Take-off run,Small,Unknown bird - small,Day,0,0,0,115.0
NEW ORLEANS INTL,B-727-200,,1993-07-15,TRANS WORLD AIRLINES,Louisiana,Approach,Small,Unknown bird - small,Day,0,0,0,
BALTIMORE WASH INTL,DHC8 DASH 8,,1999-10-06,ALLEGHENYAIRLINES,Maryland,Descent,Small,Unknown bird - small,Night,0,0,0,210.0
BARKSDALE AIR FORCE BASE ARPT,KC-10A,,1993-06-14,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Night,0,0,0,170.0
TETERBORO AIRPORT,CITATION X,,1999-10-20,EXECUTIVE JET AVIATION,New Jersey,Approach,Small,Barn owl,Night,0,0,0,
NASHVILLE INTL,MD-80,,1994-09-06,AMERICAN AIRLINES,Tennessee,Take-off run,Small,Unknown bird - small,Day,0,0,0,145.0
CHARLOTTE/DOUGLAS INTL ARPT,FOKKER F28 MK 1000,,1995-12-10,US AIRWAYS*,North Carolina,Landing Roll,Medium,Unknown bird - medium,Night,0,0,0,100.0
ORLANDO INTL,B-737-200,,1994-08-14,US AIRWAYS*,Florida,Climb,Large,Unknown bird - large,Day,0,0,0,200.0
ORLANDO INTL,B-737,,1998-01-19,DELTA AIR LINES,Florida,Take-off run,Small,Unknown bird - small,Day,0,0,0,140.0
METRO OAKLAND INTL,B-737-300,,1995-11-05,SOUTHWEST AIRLINES,California,Climb,Small,Unknown bird - small,Day,0,0,0,160.0
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,CL-RJ100/200,,2001-12-28,COMAIR AIRLINES,Kentucky,Approach,Small,European starling,Dawn,0,0,0,140.0
AUSTIN-BERGSTROM INTL,B-737-200,,1992-10-02,SOUTHWEST AIRLINES,Texas,Descent,Small,Unknown bird - small,Night,0,0,0,250.0
AUSTIN-BERGSTROM INTL,MD-80,,1998-03-16,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,
JOHN F KENNEDY INTL,A-300,,1997-08-14,AMERICAN AIRLINES,New York,Approach,Medium,Unknown bird - medium,Night,0,0,0,145.0
LAGUARDIA NY,BE-400 BJET,,1996-08-11,UNKNOWN,New York,Approach,Small,Unknown bird - small,Day,0,0,0,
PORTLAND INTL (OR),A-320,,2002-05-16,AMERICA WEST AIRLINES,Oregon,Approach,Small,Unknown bird - small,Night,0,0,0,134.0
RONALD REAGAN WASHINGTON NATL,DHC8 DASH 8,,1996-04-01,PIEDMONT AIRLINES,DC,Take-off run,Medium,Ring-billed gull,Day,0,0,0,
CHICAGO O'HARE INTL ARPT,CL-RJ100/200,,2001-10-05,ATLANTIC COAST AIRLINES,Illinois,Climb,Large,Unknown bird - large,Night,0,0,0,250.0
BARKSDALE AIR FORCE BASE ARPT,B-52H,,1999-10-20,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,140.0
NEWARK LIBERTY INTL ARPT,B-727,,1992-09-11,AMERICAN AIRLINES,New Jersey,Approach,Medium,Unknown bird - medium,Night,0,0,0,
MINETA SAN JOSE INTL,C-340,,1997-05-29,BUSINESS,California,Take-off run,Large,Turkey vulture,Day,0,0,0,
LOUISVILLE INTL ARPT,B-757-200,,2000-09-26,UPS AIRLINES,Kentucky,Approach,Small,Unknown bird - small,Night,0,0,0,210.0
FORT LAUDERDALE/HOLLYWOOD INTL,MD-80,,1999-04-08,SPIRIT AIRLINES,Florida,Approach,Medium,Unknown bird - medium,Day,0,0,0,140.0
HONOLULU INTL ARPT,DC-10-10,,1990-07-03,AMERICAN AIRLINES,Hawaii,Approach,Medium,Unknown bird - medium,Night,0,0,0,137.0
TETERBORO AIRPORT,SA226 TC,,1994-07-05,BUSINESS,New Jersey,Take-off run,Small,Cliff swallow,Day,0,0,0,
CHARLOTTE/DOUGLAS INTL ARPT,EMB-145,,2002-01-26,AMERICAN EAGLE AIRLINES,North Carolina,Approach,Large,Unknown bird - large,Night,0,0,0,150.0
SACRAMENTO INTL,B-737-300,,1999-01-06,SOUTHWEST AIRLINES,California,Climb,Medium,Unknown bird - medium,Day,0,0,0,
SALT LAKE CITY INTL,B-737-200,,1999-05-23,UNITED AIRLINES,Utah,Take-off run,Small,Unknown bird - small,Day,0,0,0,
HONOLULU INTL ARPT,DC-9,,1999-05-13,HAWAIIAN AIR,Hawaii,Approach,Medium,Unknown bird - medium,Dusk,0,0,0,
GEORGE BUSH INTERCONTINENTAL,B-737,,1996-01-26,CONTINENTAL AIRLINES,Texas,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
RONALD REAGAN WASHINGTON NATL,MD-88,Minor,2002-06-17,DELTA AIR LINES,DC,Take-off run,Large,Canada goose,Day,0,0,0,120.0
DALLAS/FORT WORTH INTL ARPT,MD-83,,1998-04-27,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,160.0
LAGUARDIA NY,FOKKER F28 MK 1000,,1996-11-20,AMERICAN AIRLINES,New York,Approach,Medium,Unknown bird - medium,Day,0,0,0,135.0
MEMPHIS INTL,B-737,,1990-10-10,UNITED AIRLINES,Tennessee,Landing Roll,Small,Unknown bird - small,Day,0,0,0,
CHARLESTON AFB/INTL ARPT,DORNIER 328,,2002-04-16,ATLANTIC COAST AIRLINES,South Carolina,Approach,Small,Unknown bird - small,Night,0,0,0,125.0
GREATER PITTSBURGH,FOKKER F100,,1995-05-20,AMERICAN AIRLINES,Pennsylvania,Approach,Small,Unknown bird - small,Night,0,0,0,130.0
GREATER PITTSBURGH,B-737-300,,1999-09-02,US AIRWAYS*,Pennsylvania,Take-off run,Small,Unknown bird - small,Dawn,0,0,0,60.0
ORLANDO INTL,MD-80,Minor,2001-10-25,AMERICAN AIRLINES,Florida,Climb,Medium,Unknown bird - medium,Day,0,0,0,250.0
PORTLAND INTL (OR),B-737-500,Substantial,2002-07-08,SOUTHWEST AIRLINES,Oregon,Take-off run,Medium,Red-tailed hawk,Dawn,0,0,0,140.0
WILL ROGERS WORLD ARPT,B-737-200,,1995-02-27,SOUTHWEST AIRLINES,Oklahoma,Take-off run,Small,Unknown bird - small,Day,0,0,0,135.0
MINETA SAN JOSE INTL,MD-80,,1990-11-02,AMERICAN AIRLINES,California,Climb,Small,Unknown bird - small,Dawn,0,0,0,150.0
FORT LAUDERDALE/HOLLYWOOD INTL,MD-80,,1994-01-24,US AIRWAYS*,Florida,Approach,Small,Unknown bird - small,Day,0,0,0,
BARKSDALE AIR FORCE BASE ARPT,KC-135,,1991-08-26,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,140.0
PORT COLUMBUS INTL,CL-RJ100/200,,2001-04-18,ATLANTIC COAST AIRLINES,Ohio,Approach,Small,Mourning dove,Day,0,0,0,
SALT LAKE CITY INTL,B-737,,1993-08-22,UNITED AIRLINES,Utah,Approach,Medium,Unknown bird - medium,Day,0,0,0,
WASHINGTON DULLES INTL ARPT,B-737-300,,1993-12-29,UNITED AIRLINES,DC,Climb,Small,European starling,Day,0,0,0,130.0
SALT LAKE CITY INTL,B-767,,1995-10-28,DELTA AIR LINES,Utah,Approach,Medium,Unknown bird - medium,Night,0,0,0,
INDIANAPOLIS INTL,MD-80,,1994-08-19,AMERICAN AIRLINES,Indiana,Approach,Small,Rock pigeon,Day,0,0,0,140.0
CHICAGO O'HARE INTL ARPT,ATR-72,,1997-08-27,AMERICAN EAGLE AIRLINES,Illinois,Approach,Large,Great blue heron,Day,0,0,0,
LOS ANGELES INTL,MD-82,,1993-09-04,AMERICAN AIRLINES,California,Climb,Small,Unknown bird - small,Day,0,0,0,250.0
SEATTLE-TACOMA INTL,DC-10,,1990-07-09,NORTHWEST AIRLINES,Washington,Climb,Medium,Unknown bird - medium,Day,0,0,0,200.0
RONALD REAGAN WASHINGTON NATL,CL-RJ100/200,,1999-05-18,AIR CANADA,DC,Descent,Medium,Unknown bird - medium,Night,0,0,0,
KANSAS CITY INTL,DC-9-40,,2002-06-08,ABX AIR,Missouri,Descent,Medium,Unknown bird - medium,Night,0,0,0,
FORT LAUDERDALE/HOLLYWOOD INTL,A-320,,2000-09-08,NORTHWEST AIRLINES,Florida,Landing Roll,Small,Unknown bird - small,Day,0,0,0,100.0
KANSAS CITY INTL,B-737-300,,1994-08-04,DELTA AIR LINES,Missouri,Landing Roll,Small,Unknown bird - small,Day,0,0,0,
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,EMB-120,,1993-10-13,COMAIR AIRLINES,Kentucky,Approach,Small,Unknown bird - small,Day,0,0,0,100.0
TETERBORO AIRPORT,CL-600,,1995-11-09,BUSINESS,New Jersey,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
MINETA SAN JOSE INTL,B-757-200,,1999-07-04,AMERICAN AIRLINES,California,Landing Roll,Small,Unknown bird - small,Day,0,0,0,
HONOLULU INTL ARPT,DC-9-50,,1999-09-21,HAWAIIAN AIR,Hawaii,Landing Roll,Small,Unknown bird - small,Dusk,0,0,0,125.0
DALLAS/FORT WORTH INTL ARPT,MD-82,,1998-04-11,AMERICAN AIRLINES,Texas,Climb,Small,Unknown bird - small,Day,0,0,0,170.0
EPPLEY AIRFIELD,B-737-700,Minor,2000-09-21,CONTINENTAL AIRLINES,Nebraska,Approach,Large,Unknown bird - large,Night,13364,2673,16037,
NEW ORLEANS INTL,B-737-300,,1998-04-17,SOUTHWEST AIRLINES,Louisiana,Approach,Small,Unknown bird - small,Day,0,0,0,138.0
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,B-767,,2000-08-06,DELTA AIR LINES,Kentucky,Approach,Small,Mourning dove,Dawn,0,0,0,120.0
CHICAGO O'HARE INTL ARPT,BA-ATP,,1999-07-06,AIR WISCONSIN AIRLINES,Illinois,Approach,Small,Unknown bird - small,Dawn,343,0,343,200.0
BARKSDALE AIR FORCE BASE ARPT,KC-10A,,1992-05-01,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,200.0
HOUSTON-HOBBY,B-737-200,,1995-07-12,SOUTHWEST AIRLINES,Texas,Take-off run,Small,Rock pigeon,Day,0,0,0,120.0
ATLANTA INTL,DC-8-61,,1999-05-11,ABX AIR,Georgia,Climb,Medium,Unknown bird - medium,Night,0,0,0,
PORTLAND INTL (OR),MD-83,,2000-09-07,AMERICAN AIRLINES,Oregon,Approach,Small,Unknown bird - small,Night,0,0,0,135.0
JOHN F KENNEDY INTL,DC-8-70,,1992-05-14,UPS AIRLINES,New York,Climb,Small,Unknown bird - small,Night,0,0,0,180.0
LAMBERT-ST LOUIS INTL,MD-82,Minor,1990-07-24,AMERICAN AIRLINES,Missouri,Climb,Small,Unknown bird - small,Day,0,0,0,220.0
RONALD REAGAN WASHINGTON NATL,B-737-300,,1993-11-19,US AIRWAYS*,DC,Approach,Small,Unknown bird - small,Day,0,0,0,210.0
LAMBERT-ST LOUIS INTL,MD-80,,1991-08-02,AMERICAN AIRLINES,Missouri,Approach,Small,Unknown bird - small,Night,0,0,0,160.0
NEW ORLEANS INTL,B-727,,1993-02-25,CONTINENTAL AIRLINES,Louisiana,Take-off run,Medium,Unknown bird - medium,Dawn,0,0,0,
RONALD REAGAN WASHINGTON NATL,DC-9-30,,1995-09-26,US AIRWAYS*,DC,Climb,Medium,Unknown bird - medium,Night,0,0,0,250.0
EPPLEY AIRFIELD,B-727,,1992-03-11,NORTHWEST AIRLINES,Nebraska,Climb,Medium,Unknown bird - medium,Day,0,0,0,170.0
CHICAGO O'HARE INTL ARPT,C-130H,,1992-09-10,MILITARY,Illinois,Approach,Medium,Unknown bird - medium,Night,0,0,0,170.0
CHARLOTTE/DOUGLAS INTL ARPT,B-737-400,,1999-08-13,US AIRWAYS*,North Carolina,Take-off run,Small,Unknown bird - small,Day,0,0,0,135.0
DENVER INTL AIRPORT,MERLIN IV,Substantial,1998-03-09,BUSINESS,Colorado,Descent,Medium,Unknown bird - medium,Night,0,0,0,
CHICAGO O'HARE INTL ARPT,B-737,,1993-04-24,UNITED AIRLINES,Illinois,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,135.0
RONALD REAGAN WASHINGTON NATL,A-320,Substantial,1997-01-25,AMERICA WEST AIRLINES,DC,Climb,Medium,Ring-billed gull,Day,0,0,0,145.0
SALT LAKE CITY INTL,B-737-300,,2001-01-02,DELTA AIR LINES,Utah,Landing Roll,Small,Unknown bird - small,Day,0,0,0,
RONALD REAGAN WASHINGTON NATL,B-757-200,,1995-08-29,AMERICAN AIRLINES,DC,Approach,Medium,Unknown bird - medium,Night,0,0,0,230.0
MINNEAPOLIS-ST PAUL INTL,DC-9,,1997-04-10,NORTHWEST AIRLINES,Minnesota,Approach,Medium,Unknown bird - medium,Night,0,0,0,160.0
DALLAS/FORT WORTH INTL ARPT,MD-82,,2000-09-24,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,130.0
CHARLOTTE/DOUGLAS INTL ARPT,DC-9,,1994-05-20,US AIRWAYS*,North Carolina,Approach,Small,European starling,Day,0,0,0,135.0
ATLANTA INTL,DC-9,,1999-04-21,AIRTRAN AIRWAYS,Georgia,Climb,Medium,Unknown bird - medium,Night,1372,0,1372,210.0
CHICAGO O'HARE INTL ARPT,BA-ATP,,1997-08-07,AIR WISCONSIN AIRLINES,Illinois,Approach,Small,Unknown bird - small,Day,0,0,0,125.0
LOUISVILLE INTL ARPT,BE-58  BARON,Minor,1993-08-04,PRIVATELY OWNED,Kentucky,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
JOHN F KENNEDY INTL,B-727,,1994-08-19,DELTA AIR LINES,New York,Climb,Small,Laughing gull,Day,0,0,0,
GREATER PITTSBURGH,B-737-300,,1999-05-10,UNITED AIRLINES,Pennsylvania,Climb,Medium,Unknown bird - medium,Night,0,0,0,250.0
